# poly_id: PODPM
# temp_target: 512.0
# n_atoms: 10000
# seed: 4200
step temp density
3140250 513.33195 1.3074059
3140500 516.02286 1.3125277
3140750 512.80136 1.3140229
3141000 510.3074 1.3098969
3141250 514.0275 1.3110014
3141500 515.42225 1.3085359
3141750 512.87689 1.3092823
3142000 519.87297 1.3058184
3142250 512.30244 1.30408
3142500 504.96846 1.3046967
3142750 517.28146 1.306152
3143000 510.22735 1.3123412
3143250 515.52188 1.3078649
3143500 507.51853 1.3000415
3143750 513.37041 1.2989226
3144000 514.1438 1.3045317
3144250 502.20591 1.3089599
3144500 509.68901 1.3098429
3144750 508.71611 1.3059326
3145000 511.124 1.303806
3145250 513.9007 1.3017469
3145500 512.64342 1.3001496
3145750 515.5218 1.3018793
3146000 509.68283 1.3045215
3146250 521.48663 1.3066048
3146500 514.12425 1.3106569
3146750 506.029 1.3089942
3147000 513.01884 1.3093286
3147250 514.47531 1.3011135
3147500 515.80747 1.3024427
3147750 512.40706 1.3023518
3148000 504.49464 1.3053094
3148250 508.85847 1.3002139
3148500 501.70396 1.2998855
3148750 512.94747 1.2979451
3149000 507.77881 1.300307
3149250 514.05748 1.3024121
3149500 507.22764 1.3099817
3149750 504.78202 1.310344
3150000 510.35132 1.3111086
3150250 507.00273 1.3146365
3150500 514.46617 1.3073771
3150750 512.52773 1.3068307
3151000 503.29317 1.305656
3151250 513.78968 1.3097348
3151500 508.10711 1.3117077
3151750 516.82713 1.3156783
3152000 513.91749 1.3171032
3152250 512.00384 1.3114582
3152500 515.30589 1.306447
3152750 509.17769 1.3098287
3153000 516.53911 1.3062409
3153250 514.20252 1.3082102
3153500 510.37558 1.3082835
3153750 521.15518 1.3049084
3154000 509.48767 1.2994475
3154250 508.24805 1.2959172
3154500 520.74984 1.2963671
3154750 509.32655 1.3027175
3155000 506.4874 1.3011891
3155250 512.34789 1.3000148
3155500 515.2151 1.3008239
3155750 513.3161 1.2988234
3156000 518.0159 1.3013277
3156250 509.63874 1.3082871
3156500 513.45114 1.3105102
3156750 512.98621 1.3052973
3157000 502.2392 1.3067915
3157250 518.52214 1.3062035
3157500 508.9063 1.3125107
3157750 505.59017 1.320424
3158000 519.11822 1.3173688
3158250 510.16342 1.3180233
3158500 512.95357 1.3184477
3158750 511.74141 1.3143033
3159000 515.43882 1.3119211
3159250 513.82816 1.3109307
3159500 512.08185 1.3063934
3159750 523.54689 1.3116109
3160000 514.45243 1.3148413
3160250 512.27262 1.3120358
3160500 515.34137 1.3103779
3160750 509.11017 1.3073933
3161000 511.81321 1.3028693
3161250 508.81133 1.3047728
3161500 517.42884 1.3085226
3161750 507.4438 1.3087571
3162000 512.32984 1.3074323
3162250 512.06238 1.3081565
3162500 511.88057 1.3086256
3162750 514.39391 1.3034635
3163000 498.47182 1.3009231
3163250 511.82855 1.306083
3163500 508.61552 1.3095219
3163750 515.02286 1.3019586
3164000 510.99507 1.2960946
3164250 514.87097 1.2986574
3164500 509.79869 1.3046098
3164750 513.36846 1.302769
3165000 510.01343 1.3092374
3165250 515.42056 1.3073086
3165500 515.95221 1.304404
3165750 510.58021 1.3026383
3166000 510.99596 1.3045873
3166250 511.97915 1.3052212
3166500 518.28565 1.3092422
3166750 512.92756 1.3187948
3167000 509.5798 1.3156275
3167250 517.7689 1.3120224
3167500 508.71795 1.3071264
3167750 517.51198 1.3041401
3168000 515.99096 1.3035315
3168250 503.78737 1.3052744
3168500 518.02997 1.3017884
3168750 515.16355 1.3064782
3169000 514.51176 1.3117618
3169250 513.43007 1.3169045
3169500 514.42877 1.3148475
3169750 513.76183 1.3145697
3170000 513.16942 1.3044643
3170250 519.64414 1.2968981
3170500 515.58272 1.294475
3170750 514.34214 1.2882927
3171000 504.28626 1.2958616
3171250 510.93532 1.302976
3171500 513.55955 1.3077986
3171750 516.15081 1.3071586
3172000 515.05344 1.3043104
3172250 511.52315 1.3066121
3172500 513.04985 1.3078646
3172750 510.97056 1.3093067
3173000 504.38781 1.3085058
3173250 512.4245 1.3060276
3173500 513.95713 1.302177
3173750 516.99331 1.2965653
3174000 513.44884 1.3028746
3174250 512.60479 1.3008136
3174500 514.05214 1.2997396
3174750 516.74836 1.3013628
3175250 513.71524 1.306822
3175500 504.16166 1.3038995
3175750 513.4657 1.3070836
3176000 511.12801 1.3121491
3176250 511.55751 1.317362
3176500 512.89223 1.3213466
3176750 516.74364 1.3150843
3177000 512.04316 1.3140758
3177250 512.39517 1.3101417
3177500 516.19425 1.3080911
3177750 511.55086 1.3075739
3178000 515.05846 1.3005091
3178250 513.06461 1.3001675
3178500 510.73617 1.2934717
3178750 511.68812 1.2943596
3179000 512.44591 1.3001285
3179250 508.34896 1.3072014
3179500 519.73734 1.3085065
3179750 511.5261 1.3069965
3180000 506.82311 1.3026814
3180250 519.88967 1.3008162
3180500 513.36921 1.2993224
3180750 510.86749 1.2987826
3181000 515.50029 1.2967288
3181250 511.59902 1.2942054
3181500 515.19881 1.2882657
3181750 503.25214 1.2885003
3182000 509.02936 1.2934263
3182250 516.23035 1.2969681
3182500 501.68474 1.3013892
3182750 510.81969 1.302385
3183000 511.89995 1.3034015
3183250 507.97978 1.3032565
3183500 514.40286 1.3082905
3183750 515.05432 1.3104508
3184000 509.39471 1.3056302
3184250 517.37766 1.3017267
3184500 511.90978 1.3017924
3184750 511.99803 1.3004173
3185000 506.70753 1.3043058
3185250 513.55573 1.303963
3185500 515.11502 1.3066101
3185750 508.11534 1.3091834
3186000 514.50805 1.3063534
3186250 511.88907 1.3131212
3186500 509.65093 1.309838
3186750 505.77712 1.3023697
3187000 514.03082 1.299693
3187250 518.99625 1.3040847
3187500 519.32309 1.3045066
3187750 509.21616 1.3028919
3188000 515.57149 1.2972525
3188250 511.58359 1.2977198
3188500 514.10935 1.3009205
