# poly_id: PS
# temp_target: 493.0
# n_atoms: 10000
# seed: 42
step temp density
3140250 489.36269 0.97384738
3140500 490.7089 0.97500581
3140750 487.8967 0.97426088
3141000 496.7261 0.97581255
3141250 490.18618 0.9773632
3141500 500.71776 0.97656941
3141750 490.39431 0.9755018
3142000 491.33618 0.97347808
3142250 494.31894 0.97332895
3142500 490.51014 0.97479523
3142750 494.34691 0.97943421
3143000 496.58467 0.98159377
3143250 495.09732 0.98728345
3143500 487.48266 0.98518259
3143750 495.37657 0.98339133
3144000 482.67159 0.98067778
3144250 496.70967 0.97931859
3144500 483.43662 0.98395936
3144750 499.09571 0.98255353
3145000 490.25518 0.97908871
3145250 492.43987 0.97401429
3145500 495.79384 0.97148593
3145750 490.51217 0.97188279
3146000 492.77128 0.97637664
3146250 497.46031 0.97908451
3146500 495.38311 0.97954332
3146750 492.49801 0.98236591
3147000 492.358 0.98286195
3147250 494.52747 0.98486026
3147500 488.43258 0.98226183
3147750 492.21447 0.97907859
3148000 491.75193 0.97912634
3148250 484.73217 0.98245957
3148500 494.73125 0.98053976
3148750 497.86893 0.97727097
3149000 490.09767 0.97473745
3149250 493.85735 0.9716455
3149500 487.34187 0.97169953
3149750 494.1274 0.9751571
3150000 493.54207 0.97795111
3150250 491.93674 0.97582718
3150500 493.67002 0.9723698
3150750 497.77368 0.97315635
3151000 491.5749 0.9773638
3151250 490.14573 0.98344236
3151500 489.56216 0.98412251
3151750 499.5911 0.97949254
3152000 491.4864 0.97742827
3152250 491.35697 0.97680924
3152500 492.81578 0.96934883
3152750 490.10221 0.9655978
3153000 496.69368 0.96950269
3153250 486.4443 0.97067882
3153500 490.018 0.97296276
3153750 495.86979 0.97166615
3154000 499.44079 0.97323911
3154250 489.45441 0.97764835
3154500 490.34087 0.97958493
3154750 493.73655 0.97261012
3155000 486.44721 0.96939517
3155250 487.29538 0.96936582
3155500 498.99978 0.97437699
3155750 487.76986 0.97678468
3156000 493.69654 0.97475261
3156250 490.46597 0.97266623
3156500 488.70581 0.97190121
3156750 494.35476 0.97205347
3157000 495.69312 0.97234486
3157250 493.88847 0.96858416
3157500 498.27679 0.97248586
3157750 494.10573 0.97624821
3158000 494.11924 0.97532322
3158250 499.93917 0.97422956
3158500 487.32255 0.97318299
3158750 497.28924 0.9814721
3159000 496.96814 0.98916055
3159250 492.12694 0.98657362
3159500 496.79045 0.98546093
3159750 487.86874 0.98775986
3160000 495.49799 0.99166241
3160250 486.83202 0.99308748
3160500 498.36184 0.99356618
3160750 497.07114 0.99266206
3161000 498.3974 0.99541154
3161250 498.08203 0.99118303
3161500 489.18384 0.99017345
3161750 496.63597 0.98692258
3162000 495.46977 0.98350153
3162250 495.94359 0.98113506
3162500 487.10455 0.9817239
3162750 492.97365 0.97910896
3163000 492.22783 0.98254896
3163250 500.07602 0.98637726
3163500 499.05542 0.99442237
3163750 489.54198 0.99049764
3164000 493.04332 0.9845519
3164250 491.57054 0.97927326
3164500 499.46334 0.9807162
3164750 486.27385 0.98068374
3165000 491.29947 0.97937023
3165250 490.24061 0.98004053
3165500 495.309 0.98088257
3165750 487.36881 0.97959807
3166000 494.3667 0.9837127
3166250 494.22741 0.98601429
3166500 491.93557 0.98719273
3166750 493.63385 0.98420137
3167000 493.63688 0.98425892
3167250 493.77481 0.98669761
3167500 485.41915 0.98579301
3167750 498.73529 0.98711588
3168000 492.30792 0.99219623
3168250 489.37831 0.99553862
3168500 496.68568 0.99596368
3168750 498.2876 0.99201348
3169000 483.18607 0.99077075
3169250 498.60602 0.99038181
3169500 494.31351 0.98878119
3169750 497.09495 0.98828751
3170000 492.57841 0.98563458
3170250 494.81366 0.98317216
3170500 494.09985 0.98382751
3170750 488.68257 0.97993153
3171000 494.09457 0.98166954
3171250 483.81469 0.98271439
3171500 493.08179 0.98099162
3171750 488.48016 0.98185745
3172000 499.09848 0.98018942
3172250 491.54184 0.97785471
3172500 485.8475 0.97751864
3172750 494.92241 0.98121915
3173000 487.25405 0.98268314
3173250 492.16922 0.98670164
3173500 494.11784 0.98398316
3173750 487.1043 0.97814368
3174000 496.54816 0.97340855
3174250 489.87765 0.97288534
3174500 501.9358 0.9736785
3174750 492.34945 0.97676782
3175000 493.10555 0.97931252
3175250 489.6332 0.97895504
3175500 494.72349 0.98384671
3175750 496.77032 0.98693599
3176000 490.25501 0.989162
3176250 493.12006 0.98937327
3176500 499.08496 0.98448276
3176750 490.37842 0.97668247
3177000 494.97733 0.96886026
3177250 481.56277 0.97189058
3177500 491.85292 0.97719139
3177750 499.48622 0.97866737
3178000 491.17435 0.97631572
3178250 497.33063 0.97679724
3178500 489.89137 0.97571191
3178750 502.07394 0.97528203
3179000 496.56461 0.98020313
3179250 491.94589 0.9816659
3179500 492.72859 0.98322774
3179750 492.34155 0.98369158
3180000 491.20586 0.97904523
3180250 497.97916 0.97583196
3180500 492.12863 0.98297222
3180750 492.84269 0.98451229
3181000 497.09663 0.9840786
3181250 497.63 0.97973747
3181500 490.83699 0.97906097
3181750 497.72102 0.97574614
3182000 500.77822 0.97949868
3182250 488.08701 0.9793791
3182500 492.23728 0.9768934
3182750 496.92127 0.98013999
3183000 494.79491 0.98667125
3183250 496.83618 0.98825986
3183500 483.4852 0.98550092
3183750 495.67071 0.97859667
3184000 488.79069 0.97440615
3184250 498.8823 0.97804517
3184500 493.08369 0.98087394
3184750 494.75842 0.98504622
3185000 495.37677 0.98039836
3185250 491.47435 0.97639751
3185500 493.72102 0.97514159
3185750 485.80425 0.97565601
3186000 496.8711 0.97468031
3186250 487.43706 0.98003241
3186500 491.08937 0.98493799
3186750 491.64067 0.98487411
3187000 489.63477 0.98512046
3187250 497.31946 0.98484804
3187500 491.26919 0.980821
3187750 494.19464 0.97767361
3188000 484.85047 0.97697779
3188250 497.24902 0.98027187
3188500 493.471 0.98509036
3188750 498.5697 0.98932442
3189000 488.33888 0.98882051
3189250 494.09271 0.98526495
3189500 500.24137 0.98053601
3189750 491.27786 0.98044604
3190000 492.79421 0.98373593
3190250 493.925 0.98825826
3190500 489.82656 0.99012571
3190750 495.77274 0.98860314
3191000 495.31444 0.98318556
3191250 486.47934 0.9780592
3191500 501.78995 0.97634079
3191750 491.61378 0.98269343
3192000 494.86657 0.98607172
3192250 495.61564 0.98794827
3192500 490.07157 0.9858561
3192750 491.34324 0.98713245
3193000 490.20211 0.98918634
3193250 493.40319 0.98708677
3193500 489.83399 0.98916821
3193750 490.09323 0.98676373
3194000 490.03687 0.98541346
3194250 490.02043 0.99072914
3194500 490.11901 0.99398254
3194750 492.21746 0.99192039
3195000 500.05777 0.98583795
3195250 491.62427 0.98257879
3195500 496.57047 0.98162369
3195750 488.74293 0.97940397
3196000 496.89297 0.98236878
3196250 487.01059 0.98277762
3196500 497.04023 0.98487646
3196750 490.95886 0.98550164
3197000 490.33527 0.98375635
3197250 495.26535 0.97988477
3197500 496.60538 0.97916728
3197750 493.79432 0.98657579
3198000 494.35498 0.99093269
3198250 491.24588 0.9926134
3198500 500.69918 0.98686321
3198750 490.19224 0.98465782
3199000 490.34076 0.98028066
3199250 489.92302 0.97867973
3199500 490.10278 0.98050842
3199750 492.98092 0.98651084
3200000 495.54993 0.98914574
3200250 497.86899 0.98967059
3200500 496.31037 0.98721462
3200750 489.86935 0.98760448
3201000 505.2275 0.9853526
3201250 487.71046 0.98442244
3201500 493.36456 0.98429667
3201750 498.10058 0.98426102
3202000 491.2148 0.98876464
3202250 494.60911 0.99568725
